,id,created_at,text,lang,hashtags,textlist,emoji,clean_text,filter_text,norm_text,lem,excitement,happy,pleasant,surprise,fear,angry,excitement_emoji,happy_emoji,pleasant_emoji,surprise_emoji,fear_emoji,angry_emoji,excitementclass,happyclass,pleasantclass,surpriseclass,fearclass,angryclass,max_value,max_idx
26611,1.2386841311538954e+18,Sat Mar 14 04:31:25 +0000 2020,Situation Update No. 9 | EP-20200302-70730-MLC - #Epidemic event's update is available! | https://t.co/RNr8Tt8tCa,en,"[{'text': 'Epidemic', 'indices': [49, 58]}]",['epidemic'],,Situation Update No. | EP-20200302-70730-MLC - event's update is available! |,Situation Update No EP-20200302-70730-MLC event 's update available,"['situation', 'update', 'no', 'event', 'update', 'available']","situation,update,no,event,update,available",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fearclass
26131,1.238682172447318e+18,Sat Mar 14 04:23:38 +0000 2020,@JacksonWang852 Our cupsleeve event for your bday got postponed due to covid19 😢 please stay safe and we filipino a… https://t.co/4WBgwtPWMO,en,[],[],😢,Our cupsleeve event for your bday got postponed due to covid19 please stay safe and we filipino a…,Our cupsleeve event bday got postponed due covid19 please stay safe filipino a…,"['our', 'cupsleeve', 'event', 'bday', 'got', 'postponed', 'due', 'please', 'stay', 'safe', 'filipino', 'a']","our,cupsleeve,event,bday,got,postponed,due,please,stay,safe,filipino,a",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,fearclass
26222,1.2386825204111647e+18,Sat Mar 14 04:25:01 +0000 2020,Online Therapist for the treatment of #Anxiety via Skype. See: https://t.co/yKQjdhqyCP #anxietyhelp #anxietyrelief… https://t.co/ROOaeXjD9f,en,"[{'text': 'Anxiety', 'indices': [38, 46]}, {'text': 'anxietyhelp', 'indices': [87, 99]}, {'text': 'anxietyrelief', 'indices': [100, 114]}]","['anxiety', 'anxietyhelp', 'anxietyrelief']",,Online Therapist for the treatment of via Skype. See: …,Online Therapist treatment via Skype See …,"['online', 'therapist', 'treatment', 'via', 'skype', 'see']","online,therapist,treatment,via,skype,see",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fearclass
27781,1.238689468032389e+18,Sat Mar 14 04:52:37 +0000 2020,Im not going to be able to sleep much this weekend! #anxiety,en,"[{'text': 'anxiety', 'indices': [52, 60]}]",['anxiety'],,Im not going to be able to sleep much this weekend!,Im going able sleep much weekend,"['i', 'm', 'going', 'able', 'sleep', 'much', 'weekend']","i,m,going,able,sleep,much,weekend",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fearclass
27739,1.238689239488815e+18,Sat Mar 14 04:51:43 +0000 2020,"RT @jodyskier: Fear is a terrible thing. Thinking with compassion of our fellow humans will help us tamp down the #fear.  

Remember to act…",en,"[{'text': 'fear', 'indices': [114, 119]}]",['fear'],,: Fear is a terrible thing. Thinking with compassion of our fellow humans will help us tamp down the . Remember to act…,Fear terrible thing Thinking compassion fellow humans help us tamp Remember act…,"['fear', 'terrible', 'thing', 'thinking', 'compassion', 'fellow', 'humans', 'help', 'us', 'tamp', 'remember', 'act']","fear,terrible,thing,thinking,compassion,fellow,human,help,u,tamp,remember,act",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fearclass
27833,1.2386897209573704e+18,Sat Mar 14 04:53:37 +0000 2020,"Twelve Monkeys 2.0...
😱 😈 🥶
https://t.co/80yF0zAxEY",en,[],[],😱😈🥶,Twelve Monkeys ... 🥶,Twelve Monkeys ... 🥶,"['twelve', 'monkeys']","twelve,monkey",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,fearclass
27707,1.2386890677238743e+18,Sat Mar 14 04:51:02 +0000 2020,@JheneAiko like i want to burst into tears. #anxiety,en,"[{'text': 'anxiety', 'indices': [44, 52]}]",['anxiety'],,like i want to burst into tears.,like want burst tears,"['like', 'want', 'burst', 'tears']","like,want,burst,tear",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fearclass
26315,1.2386829478358344e+18,Sat Mar 14 04:26:43 +0000 2020,@YasmineHachimi @salu1292 Yeah. I've scaled back my goals for each day and am happy with *any* work done. #anxiety… https://t.co/ZbJGB6WtCf,en,"[{'text': 'anxiety', 'indices': [106, 114]}]",['anxiety'],,Yeah. I've scaled back my goals for each day and am happy with *any* work done. …,Yeah I 've scaled back goals day happy *any* work done …,"['yeah', 'i', 've', 'scaled', 'back', 'goals', 'day', 'happy', 'any', 'work', 'done']","yeah,i,ve,scaled,back,goal,day,happy,any,work,done",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fearclass
26402,1.2386832760527503e+18,Sat Mar 14 04:28:01 +0000 2020,Will the #coronavirus #epidemic be an #introduction to the   a #cashless circulation of #money? https://t.co/nE4Iz2PWXi,en,"[{'text': 'coronavirus', 'indices': [9, 21]}, {'text': 'epidemic', 'indices': [22, 31]}, {'text': 'introduction', 'indices': [38, 51]}, {'text': 'cashless', 'indices': [63, 72]}, {'text': 'money', 'indices': [88, 94]}]","['coronavirus', 'epidemic', 'introduction', 'cashless', 'money']",,Will the be an to the a circulation of ?,Will circulation,"['will', 'circulation']","will,circulation",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fearclass
27599,1.2386885666804982e+18,Sat Mar 14 04:49:02 +0000 2020,"RT @ripfez: Bruised and tired of everything. 

#depression #onlyfans #chubby #chubbylatina #bustylatina #hugetits https://t.co/8eavJxLJid",en,"[{'text': 'depression', 'indices': [47, 58]}, {'text': 'onlyfans', 'indices': [59, 68]}, {'text': 'chubby', 'indices': [69, 76]}, {'text': 'chubbylatina', 'indices': [77, 90]}, {'text': 'bustylatina', 'indices': [91, 103]}, {'text': 'hugetits', 'indices': [104, 113]}]","['depression', 'onlyfans', 'chubby', 'chubbylatina', 'bustylatina', 'hugetits']",,: Bruised and tired of everything.,Bruised tired everything,"['bruised', 'tired', 'everything']","bruised,tired,everything",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fearclass
