,id,created_at,text,lang,hashtags,textlist,emoji,clean_text,filter_text,norm_text,lem,excitement,happy,pleasant,surprise,fear,angry,excitement_emoji,happy_emoji,pleasant_emoji,surprise_emoji,fear_emoji,angry_emoji,excitementclass,happyclass,pleasantclass,surpriseclass,fearclass,angryclass,max_value,max_idx
17799,1.24E+18,Sat Mar 14 00:05:07 +0000 2020,@leavemealon8 ain't no virus gonna survive when da pussy is fire 🤣,en,[],[],🤣,ain't no virus gonna survive when da pussy is fire 🤣,ai n't virus gon na survive da pussy fire 🤣,"['ai', 'virus', 'gon', 'na', 'survive', 'da', 'pussy', 'fire']","ai,virus,gon,na,survive,da,pussy,fire",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,excitementclass
17574,1.24E+18,Sat Mar 14 00:04:47 +0000 2020,Now you are just teasing! (Dreaming of possible futures)😁😂🤣,en,[],[],😁😂🤣,Now you are just teasing! (Dreaming of possible futures)🤣,Now teasing Dreaming possible futures 🤣,"['now', 'teasing', 'dreaming', 'possible', 'futures']","now,teasing,dreaming,possible,future",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,excitementclass
17594,1.24E+18,Sat Mar 14 00:04:49 +0000 2020,RT @LeijaMariela: if y’all are so scared of the virus buy a new house to self quarantine 😗😗 hmu tho,en,[],[],😗😗,: if y’all are so scared of the virus buy a new house to self quarantine hmu tho,’ scared virus buy new house self quarantine hmu tho,"['scared', 'virus', 'buy', 'new', 'house', 'self', 'quarantine', 'hmu', 'tho']","scared,virus,buy,new,house,self,quarantine,hmu,tho",0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,excitementclass
18123,1.24E+18,Sat Mar 14 00:05:41 +0000 2020,This dude here 🤣🤣🤣,en,[],[],🤣🤣🤣,This dude here 🤣🤣🤣,This dude 🤣🤣🤣,"['this', 'dude']","this,dude",0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,excitementclass
18103,1.24E+18,Sat Mar 14 00:05:39 +0000 2020,I'm so excited for my new @fisslerUSA #pressurecooker thank you @TestKitchen #cornedbeef #delicious #excited… https://t.co/zlhdqH8bwg,en,"[{'text': 'pressurecooker', 'indices': [38, 53]}, {'text': 'cornedbeef', 'indices': [77, 88]}, {'text': 'delicious', 'indices': [89, 99]}, {'text': 'excited', 'indices': [100, 108]}]","['pressurecooker', 'cornedbeef', 'delicious', 'excited']",,I'm so excited for my new thank you …,I 'm excited new thank …,"['i', 'm', 'excited', 'new', 'thank']","i,m,excited,new,thank",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,excitementclass
18226,1.24E+18,Sat Mar 14 01:05:59 +0000 2020,@Ryus19 He is bugging because..? Also just realized that mask is photoshopped on 🤣,en,[],[],🤣,He is bugging because..? Also just realized that mask is photoshopped on 🤣,He bugging because.. Also realized mask photoshopped 🤣,"['he', 'bugging', 'because', 'also', 'realized', 'mask', 'photoshopped']","he,bugging,because,also,realized,mask,photoshopped",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,excitementclass
18037,1.24E+18,Sat Mar 14 00:05:33 +0000 2020,I think I may have #corona virus so next week I'll be working from home. 🤣🤣🤣 https://t.co/gLo0Fjirrx,en,"[{'text': 'corona', 'indices': [19, 26]}]",['corona'],🤣🤣🤣,I think I may have virus so next week I'll be working from home. 🤣🤣🤣,I think I may virus next week I 'll working home 🤣🤣🤣,"['i', 'think', 'i', 'may', 'virus', 'next', 'week', 'i', 'working', 'home']","i,think,i,may,virus,next,week,i,working,home",0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,excitementclass
17975,1.24E+18,Sat Mar 14 00:05:27 +0000 2020,RT @HayesShawntay: Ctfu this funny asl cuz I damn sure thought the same thing🤣🤣🤣,en,[],[],🤣🤣🤣,: Ctfu this funny asl cuz I damn sure thought the same thing🤣🤣🤣,Ctfu funny asl cuz I damn sure thought thing🤣🤣🤣,"['ctfu', 'funny', 'asl', 'cuz', 'i', 'damn', 'sure', 'thought', 'thing']","ctfu,funny,asl,cuz,i,damn,sure,thought,thing",0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,excitementclass
16902,1.24E+18,Sat Mar 14 00:03:46 +0000 2020,2019 I AM SCREAMING 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,en,[],[],🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,I AM SCREAMING 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,I AM SCREAMING 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,"['i', 'am', 'screaming']","i,am,screaming",0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,10,excitementclass
16931,1.24E+18,Sat Mar 14 00:03:49 +0000 2020,@KristinLisaCar1 🤣🤣Stop cause virus🤣🤣,en,[],[],🤣🤣🤣🤣,🤣🤣Stop cause virus🤣🤣,🤣🤣Stop cause virus🤣🤣,"['stop', 'cause', 'virus']","stop,cause,virus",0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,excitementclass
16888,1.24E+18,Sat Mar 14 00:03:44 +0000 2020,"RT @CoronaVirusPT19: Quem ganharia?
Who would win?

Like for Corona Virus 🦠
RT for Chuck Norris 🤣 https://t.co/UkbITpN7Ci",en,[],[],🦠🤣,: Quem ganharia? Who would win? Like for Corona Virus 🦠 RT for Chuck Norris 🤣,Quem ganharia Who would win Like Corona Virus 🦠 RT Chuck Norris 🤣,"['quem', 'ganharia', 'who', 'would', 'win', 'like', 'corona', 'virus', 'rt', 'chuck', 'norris']","quem,ganharia,who,would,win,like,corona,virus,rt,chuck,norris",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,excitementclass
16956,1.24E+18,Sat Mar 14 00:03:50 +0000 2020,🤣🤣🤣🤣🤣😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂BRUH y’all funny ash,en,[],[],🤣🤣🤣🤣🤣😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,🤣🤣🤣🤣🤣BRUH y’all funny ash,🤣🤣🤣🤣🤣BRUH ’ funny ash,"['bruh', 'funny', 'ash']","bruh,funny,ash",0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,excitementclass
