,id,created_at,text,lang,hashtags,textlist,emoji,clean_text,filter_text,norm_text,lem,excitement,happy,pleasant,surprise,fear,angry,excitement_emoji,happy_emoji,pleasant_emoji,surprise_emoji,fear_emoji,angry_emoji,excitementclass,happyclass,pleasantclass,surpriseclass,fearclass,angryclass,max_value,max_idx
12907,1.238615199952728e+18,Fri Mar 13 23:57:30 +0000 2020,@ActuallyMentor @SafNine Yes 👍 Guests can create subpages beneath the pages shared with them.,en,[],[],👍,Yes Guests can create subpages beneath the pages shared with them.,Yes Guests create subpages beneath pages shared,"['yes', 'guests', 'create', 'subpages', 'beneath', 'pages', 'shared']","yes,guest,create,subpages,beneath,page,shared",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,pleasantclass
13344,1.2386153687862354e+18,Fri Mar 13 23:58:10 +0000 2020,@PureMichGirl Cool! 👍,en,[],[],👍,Cool!,Cool,['cool'],cool,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,pleasantclass
27689,1.2386890152949187e+18,Sat Mar 14 04:50:49 +0000 2020,"Beautiful serene Celeste daydreaming of sunshine and sending positive thoughts to everyone.
   
#beautiful #serene… https://t.co/EJiyozkDbb",en,"[{'text': 'beautiful', 'indices': [96, 106]}, {'text': 'serene', 'indices': [107, 114]}]","['beautiful', 'serene']",,Beautiful serene Celeste daydreaming of sunshine and sending positive thoughts to everyone. …,Beautiful serene Celeste daydreaming sunshine sending positive thoughts everyone …,"['beautiful', 'serene', 'celeste', 'daydreaming', 'sunshine', 'sending', 'positive', 'thoughts', 'everyone']","beautiful,serene,celeste,daydreaming,sunshine,sending,positive,thought,everyone",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,pleasantclass
8071,1.238613346770989e+18,Fri Mar 13 23:50:08 +0000 2020,RT @ahsanal35969116: Good morning Twitter family 🦋🌺🌷🌲We are helping each other to combat this virus.  Let's wash ourselves thoroughly😛😛😂😂😂🥰…,en,[],[],🦋🌺🌷🌲😛😛😂😂😂🥰,: Good morning Twitter family 🦋We are helping each other to combat this virus. Let's wash ourselves thoroughly🥰…,Good morning Twitter family 🦋We helping combat virus Let 's wash thoroughly🥰…,"['good', 'morning', 'twitter', 'family', 'we', 'helping', 'combat', 'virus', 'let', 'wash', 'thoroughly']","good,morning,twitter,family,we,helping,combat,virus,let,wash,thoroughly",0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,2,pleasantclass
13566,1.2386154525926031e+18,Fri Mar 13 23:58:30 +0000 2020,@IllLeaveMyMark Bat soup taste nice 👍,en,[],[],👍,Bat soup taste nice,Bat soup taste nice,"['bat', 'soup', 'taste', 'nice']","bat,soup,taste,nice",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,pleasantclass
10811,1.2386143742998979e+18,Fri Mar 13 23:54:13 +0000 2020,Pray for corona virus please 👏🏽😭,en,[],[],👏🏽😭,Pray for corona virus please,Pray corona virus please,"['pray', 'corona', 'virus', 'please']","pray,corona,virus,please",0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,pleasantclass
15265,1.2386161021015327e+18,Sat Mar 14 00:01:05 +0000 2020,@Johntrom75 @SandbachScMusic Superb performance by everyone. 👍,en,[],[],👍,Superb performance by everyone.,Superb performance everyone,"['superb', 'performance', 'everyone']","superb,performance,everyone",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,pleasantclass
10630,1.2386143047038935e+18,Fri Mar 13 23:53:57 +0000 2020,RT @xisootaejojjisj: Oomfs please report these accounts for attacking Chen like this. I blocked and reported thank you. 👍 https://t.co/Tx84…,en,[],[],👍,: Oomfs please report these accounts for attacking Chen like this. I blocked and reported thank you.,Oomfs please report accounts attacking Chen like I blocked reported thank,"['oomfs', 'please', 'report', 'accounts', 'attacking', 'chen', 'like', 'i', 'blocked', 'reported', 'thank']","oomfs,please,report,account,attacking,chen,like,i,blocked,reported,thank",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,pleasantclass
13149,1.23861529632521e+18,Fri Mar 13 23:57:53 +0000 2020,@SUS_DEV Prismacolor alcohol based markers on tracing paper actually 👍,en,[],[],👍,Prismacolor alcohol based markers on tracing paper actually,Prismacolor alcohol based markers tracing paper actually,"['prismacolor', 'alcohol', 'based', 'markers', 'tracing', 'paper', 'actually']","prismacolor,alcohol,based,marker,tracing,paper,actually",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,pleasantclass
10948,1.2386144247783547e+18,Fri Mar 13 23:54:25 +0000 2020,@Jenni_Fagan 👍💪🏼👏. 👍 well done 👍 congratulations,en,[],[],👍💪🏼👏👍👍,. well done congratulations,well done congratulations,"['well', 'done', 'congratulations']","well,done,congratulation",0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,pleasantclass
18118,1.238617259951534e+18,Sat Mar 14 00:05:41 +0000 2020,RT @AwanishSharan: Amazing method of teaching. 👍 https://t.co/jnkd9uV14x,en,[],[],👍,: Amazing method of teaching.,Amazing method teaching,"['amazing', 'method', 'teaching']","amazing,method,teaching",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,pleasantclass
8274,1.2386134152177623e+18,Fri Mar 13 23:50:25 +0000 2020,"@stevedicko82 @FootballIndex I wont be joining them, the sharks will feast for the next month or so. Enjoy 👍",en,[],[],👍,"I wont be joining them, the sharks will feast for the next month or so. Enjoy",I wont joining sharks feast next month Enjoy,"['i', 'wo', 'nt', 'joining', 'sharks', 'feast', 'next', 'month', 'enjoy']","i,wo,nt,joining,shark,feast,next,month,enjoy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,pleasantclass
