,id,created_at,text,lang,hashtags,textlist,emoji,clean_text,filter_text,norm_text,lem,excitement,happy,pleasant,surprise,fear,angry,excitement_emoji,happy_emoji,pleasant_emoji,surprise_emoji,fear_emoji,angry_emoji,excitementclass,happyclass,pleasantclass,surpriseclass,fearclass,angryclass,max_value,max_idx
8543,1.238613526496895e+18,Fri Mar 13 23:50:51 +0000 2020,"Now everyone want to use condoms after there's a outbreak of a virus🤦🏾‍♀️😩😂
#yallfried",en,"[{'text': 'yallfried', 'indices': [76, 86]}]",['yallfried'],🤦🏾♀😩😂,Now everyone want to use condoms after there's a outbreak of a virus🤦‍️,Now everyone want use condoms 's outbreak virus🤦‍️,"['now', 'everyone', 'want', 'use', 'condoms', 'outbreak', 'virus']","now,everyone,want,use,condom,outbreak,virus",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,surpriseclass
23817,1.2386726176761774e+18,Sat Mar 14 03:45:40 +0000 2020,"@charliekirk11 Wow, one bad flu season and you're ready to abandon capitalism. #Sad",en,"[{'text': 'Sad', 'indices': [79, 83]}]",['sad'],,"Wow, one bad flu season and you're ready to abandon capitalism.",Wow one bad flu season 're ready abandon capitalism,"['wow', 'one', 'bad', 'flu', 'season', 'ready', 'abandon', 'capitalism']","wow,one,bad,flu,season,ready,abandon,capitalism",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,surpriseclass
23686,1.2386721259442668e+18,Sat Mar 14 03:43:42 +0000 2020,This how y’all eat and have the nerve to put a mask on your face...Chile you gon kill you before Roma do😭😭,en,[],[],😭😭,This how y’all eat and have the nerve to put a mask on your face...Chile you gon kill you before Roma do,This ’ eat nerve put mask face ... Chile gon kill Roma,"['this', 'eat', 'nerve', 'put', 'mask', 'face', 'chile', 'gon', 'kill', 'roma']","this,eat,nerve,put,mask,face,chile,gon,kill,rom",0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,2,surpriseclass
11967,1.2386148074330972e+18,Fri Mar 13 23:55:57 +0000 2020,@AlphaLupia I’m tired of this virus shit! 😭,en,[],[],😭,I’m tired of this virus shit!,I ’ tired virus shit,"['i', 'tired', 'virus', 'shit']","i,tired,virus,shit",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,surpriseclass
3683,1.2386118323420406e+18,Fri Mar 13 23:44:07 +0000 2020,@_dfazo_ $jahnae  my school and job both shut down cause of this virus and I gotta try to eat and live 😭,en,[],[],😭,$jahnae my school and job both shut down cause of this virus and I gotta try to eat and live,jahnae school job shut cause virus I got ta try eat live,"['jahnae', 'school', 'job', 'shut', 'cause', 'virus', 'i', 'got', 'ta', 'try', 'eat', 'live']","jahnae,school,job,shut,cause,virus,i,got,ta,try,eat,live",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,surpriseclass
25939,1.238681712697045e+18,Sat Mar 14 04:21:48 +0000 2020,"RT @KChenoweth: #RIP #BATMAN 🦇🦸‍♂️😭 

Join me on @tiktok_us: https://t.co/xyiZzXNczb https://t.co/XQeuFI6lwo",en,"[{'text': 'RIP', 'indices': [16, 20]}, {'text': 'BATMAN', 'indices': [21, 28]}]","['rip', 'batman']",🦇🦸♂😭,: 🦇🦸‍️ Join me on :,🦇🦸‍️ Join,['join'],join,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,surpriseclass
11915,1.2386147888104407e+18,Fri Mar 13 23:55:52 +0000 2020,RT @ByDigitalDash: dam found out i just tested positive for the get money virus 😩,en,[],[],😩,: dam found out i just tested positive for the get money virus,dam found tested positive get money virus,"['dam', 'found', 'tested', 'positive', 'get', 'money', 'virus']","dam,found,tested,positive,get,money,virus",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,surpriseclass
14362,1.238615767043752e+18,Fri Mar 13 23:59:45 +0000 2020,RT @SoManyJets: Ugh just realized how many bullshit corona virus costumes we’re going to see at Halloween this year 😩,en,[],[],😩,: Ugh just realized how many bullshit corona virus costumes we’re going to see at Halloween this year,Ugh realized many bullshit corona virus costumes ’ going see Halloween year,"['ugh', 'realized', 'many', 'bullshit', 'corona', 'virus', 'costumes', 'going', 'see', 'halloween', 'year']","ugh,realized,many,bullshit,corona,virus,costume,going,see,halloween,year",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,surpriseclass
23794,1.2386725376361103e+18,Sat Mar 14 03:45:21 +0000 2020,@tinglyjimin Wearing a mask to the airport ain’t helping 😭,en,[],[],😭,Wearing a mask to the airport ain’t helping,Wearing mask airport ’ helping,"['wearing', 'mask', 'airport', 'helping']","wearing,mask,airport,helping",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,surpriseclass
18441,1.2386342160212664e+18,Sat Mar 14 01:13:04 +0000 2020,"Oye people real serious on they ting .. I passing to go in the shop a lady have her mask on uh , inside her home 😭",en,[],[],😭,"Oye people real serious on they ting .. I passing to go in the shop a lady have her mask on uh , inside her home",Oye people real serious ting .. I passing go shop lady mask uh inside home,"['oye', 'people', 'real', 'serious', 'ting', 'i', 'passing', 'go', 'shop', 'lady', 'mask', 'uh', 'inside', 'home']","oye,people,real,serious,ting,i,passing,go,shop,lady,mask,uh,inside,home",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,surpriseclass
14396,1.2386157794001265e+18,Fri Mar 13 23:59:48 +0000 2020,"I’m more terrified thinking about being stuck at home for 14 days with my kids ,than the virus itself 🥴😭",en,[],[],🥴😭,"I’m more terrified thinking about being stuck at home for days with my kids ,than the virus itself 🥴",I ’ terrified thinking stuck home days kids virus 🥴,"['i', 'terrified', 'thinking', 'stuck', 'home', 'days', 'kids', 'virus']","i,terrified,thinking,stuck,home,day,kid,virus",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,surpriseclass
27877,1.238689871939674e+18,Sat Mar 14 04:54:13 +0000 2020,Plz don’t cancel summer concert dates I can’t have my second beiber concert cancelled 😭😭😭,en,[],[],😭😭😭,Plz don’t cancel summer concert dates I can’t have my second beiber concert cancelled,Plz ’ cancel summer concert dates I ’ second beiber concert cancelled,"['plz', 'cancel', 'summer', 'concert', 'dates', 'i', 'second', 'beiber', 'concert', 'cancelled']","plz,cancel,summer,concert,date,i,second,beiber,concert,cancelled",0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,3,surpriseclass
18586,1.2386348468277494e+18,Sat Mar 14 01:15:34 +0000 2020,Wait she not lying this was my nail tech today. 😭😂🙏🏽. Then gone cough in the mask 😷😒😒. Hoe u betta ..!getttt. Atlea… https://t.co/Us44pko4o3,en,[],[],😭😂🙏🏽😷😒😒,Wait she not lying this was my nail tech today. . Then gone cough in the mask . Hoe u betta ..!getttt. Atlea…,Wait lying nail tech today Then gone cough mask Hoe u betta .. getttt Atlea…,"['wait', 'lying', 'nail', 'tech', 'today', 'then', 'gone', 'cough', 'mask', 'hoe', 'u', 'betta', 'getttt', 'atlea']","wait,lying,nail,tech,today,then,gone,cough,mask,hoe,u,betta,getttt,atlea",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,surpriseclass
23750,1.2386723709210788e+18,Sat Mar 14 03:44:41 +0000 2020,I really be talking to people only on social media because on bdays it’s like a year later and im resending it lmao #sad,en,"[{'text': 'sad', 'indices': [116, 120]}]",['sad'],,I really be talking to people only on social media because on bdays it’s like a year later and im resending it lmao,I really talking people social media bdays ’ like year later im resending lmao,"['i', 'really', 'talking', 'people', 'social', 'media', 'bdays', 'like', 'year', 'later', 'i', 'm', 'resending', 'lmao']","i,really,talking,people,social,medium,bdays,like,year,later,i,m,resending,lmao",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,surpriseclass
25397,1.2386793742553252e+18,Sat Mar 14 04:12:31 +0000 2020,"A Message To Our Customers 🤯 From New Impulse HR Solutions 🎯
.
.
#corona #coronavirus #virus #china #riverside… https://t.co/q2NpaqTp37",en,"[{'text': 'corona', 'indices': [65, 72]}, {'text': 'coronavirus', 'indices': [73, 85]}, {'text': 'virus', 'indices': [86, 92]}, {'text': 'china', 'indices': [93, 99]}, {'text': 'riverside', 'indices': [100, 110]}]","['corona', 'coronavirus', 'virus', 'china', 'riverside']",🤯🎯,A Message To Our Customers 🤯 From New Impulse HR Solutions . . …,A Message To Our Customers 🤯 From New Impulse HR Solutions …,"['a', 'message', 'to', 'our', 'customers', 'from', 'new', 'impulse', 'hr', 'solutions']","a,message,to,our,customer,from,new,impulse,hr,solution",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,surpriseclass
14380,1.238615774584959e+18,Fri Mar 13 23:59:47 +0000 2020,Omg a newborn got the virus 😭,en,[],[],😭,Omg a newborn got the virus,Omg newborn got virus,"['omg', 'newborn', 'got', 'virus']","omg,newborn,got,virus",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,surpriseclass
25380,1.2386792870851052e+18,Sat Mar 14 04:12:10 +0000 2020,@Sequioazion Mask that’s doing absolutely nothing for her at that😭,en,[],[],😭,Mask that’s doing absolutely nothing for her at that,Mask ’ absolutely nothing,"['mask', 'absolutely', 'nothing']","mask,absolutely,nothing",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,surpriseclass
3616,1.238611812037415e+18,Fri Mar 13 23:44:02 +0000 2020,@filmcherries they completely excuse everything 😭😭 its a global emergency and they excuse a 17 yo not being educated about the virus,en,[],[],😭😭,they completely excuse everything its a global emergency and they excuse a yo not being educated about the virus,completely excuse everything global emergency excuse yo educated virus,"['completely', 'excuse', 'everything', 'global', 'emergency', 'excuse', 'yo', 'educated', 'virus']","completely,excuse,everything,global,emergency,excuse,yo,educated,virus",0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,2,surpriseclass
25061,1.238677927467901e+18,Sat Mar 14 04:06:46 +0000 2020,"A Message To Our Customers 🤯 From IDE🅰️ HU🅱️ Ja.
.
.
#corona #coronavirus #virus #china #riverside #viruscorona… https://t.co/pIdw3d58WE",en,"[{'text': 'corona', 'indices': [53, 60]}, {'text': 'coronavirus', 'indices': [61, 73]}, {'text': 'virus', 'indices': [74, 80]}, {'text': 'china', 'indices': [81, 87]}, {'text': 'riverside', 'indices': [88, 98]}, {'text': 'viruscorona', 'indices': [99, 111]}]","['corona', 'coronavirus', 'virus', 'china', 'riverside', 'viruscorona']",🤯🅰🅱,A Message To Our Customers 🤯 From IDE🅰️ HU🅱️ Ja. . . …,A Message To Our Customers 🤯 From IDE🅰️ HU🅱️ Ja …,"['a', 'message', 'to', 'our', 'customers', 'from', 'ide', 'hu', 'ja']","a,message,to,our,customer,from,ide,hu,ja",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,surpriseclass
14310,1.2386157423266816e+18,Fri Mar 13 23:59:39 +0000 2020,RT @quandadonxo: Hey Guys So My Shipment 🚚 Comes Next week on the 17th😩😩Hopefully there’s no Delay on the shipment... Due to The Corona Vir…,en,[],[],🚚😩😩,: Hey Guys So My Shipment Comes Next week on the thHopefully there’s no Delay on the shipment... Due to The Corona Vir…,Hey Guys So My Shipment Comes Next week thHopefully ’ Delay shipment ... Due The Corona Vir…,"['hey', 'guys', 'so', 'my', 'shipment', 'comes', 'next', 'week', 'thhopefully', 'delay', 'shipment', 'due', 'the', 'corona', 'vir']","hey,guy,so,my,shipment,come,next,week,thhopefully,delay,shipment,due,the,corona,vir",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,surpriseclass
